name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Mole Hill,Add a Brief Description,Reiner Knizia,Néstor Romeral Andrés,"Användbart Litet Företag, Blatz, nestorgames",2.0,2.0,15.0,15.0,15.0,8.0,1.72,216,93,Abstract,Abstract Strategy,"Enclosure, Variable Player Powers","Animals: Moles, Components: 7 x 9 Grids, Players: Two Player Only Games, Theme: Gardening",1997.0,6.0
Nuba,Add a Brief Description,Reiner Knizia,Franz Vohwinkel,"AMIGO, Games & Puzzles Publications",2.0,2.0,10.0,10.0,10.0,12.0,2.0,60,24,Abstract,Abstract Strategy,"Grid Movement, Square Grid","Components: 5 x 6 Grids, Players: Two Player Only Games",1995.0,6.2
Dicke Kartoffeln,Add a Brief Description,"Doris Matthäus, Frank Nestel",Doris Matthäus,ABACUSSPIELE,2.0,6.0,120.0,120.0,120.0,12.0,3.31,163,55,Strategy,"Economic, Farming",Commodity Speculation,,1989.0,6.2
Knights of Charlemagne,Add a Brief Description,Reiner Knizia,"Wesly Gibs, Paul Herbert, Elisa Teague, Franz Vohwinkel","Kanga Games, Nasza Księgarnia, Playroom Entertainment, Spiel Spass, W. Nostheide Verlag GmbH",2.0,4.0,30.0,30.0,30.0,8.0,1.42,716,363,Family,"Card Game, Medieval","Hand Management, Set Collection, Team-Based Game",Magazine: Spielbox,1995.0,6.4
Risk,Will you conquer the world in this multi-player push-your-luck wargame?,"Albert Lamorisse, Michael I. Levin",(Uncredited),Parker Brothers + 23 more,2.0,6.0,120.0,120.0,120.0,10.0,2.07,35000,7800,"Family,  Wargames","Territory Building, Wargame","Area Movement, Dice Rolling, Player Elimination, Set Collection","Components: Map (Global Scale), Components: Miniatures, Game: Risk (Official), Region: The World, Series: Nostalgia (Hasbro)",1959.0,5.6
Stonehenge,He who dominates the circle of stones shall be the master.,Reiner Knizia,Torsten Schöps,"Blatz, Pin International",2.0,2.0,15.0,15.0,15.0,10.0,1.86,139,52,Abstract,Abstract Strategy,Area Majority / Influence,"Category: Combinatorial, Country: England, Players: Two Player Only Games, Series: The Games Collection (Pin International)",1994.0,6.3
Pool Position,Add a Brief Description,Thorsten Gimmler,Walter Pepperle,F.X. Schmid,2.0,5.0,30.0,30.0,30.0,10.0,1.73,138,57,Abstract,"Abstract Strategy, Card Game","Simultaneous Action Selection, Tile Placement",,1999.0,5.7
Devil Bunny Needs a Ham,Can you reach the top before Devil Bunny knocks you down? It's mayHAM!!!!,James Ernest,Scott M. Brown,"Cheapass Games, Greater Than Games, LLC",2.0,5.0,30.0,30.0,30.0,8.0,1.18,714,283,Family,"Abstract Strategy, Dice, Print & Play","Grid Movement, Race, Roll / Spin and Move, Take That","Animals: Rabbits, Components: Dice with Icons, Components: Miniatures, Crowdfunding: Kickstarter",1998.0,5.4
Split,Add a Brief Description,David Hoyt,,"GDC-GameDevCo Ltd., Hasbro, Parker Brothers",2.0,6.0,30.0,30.0,30.0,12.0,1.13,198,74,Uncategorized,Card Game,"Pattern Building, Point to Point Movement, Team-Based Game",Components: 10 x 10 Grids,1999.0,5.9
,Use stones to control space in this ancient game with simple rules.,(Uncredited),"Barbro Hennius, Norman Sommer",(Public Domain) + 74 more,2.0,2.0,30.0,180.0,105.0,8.0,3.93,17000,4100,Abstract,Abstract Strategy,"Enclosure, Square Grid","Category: Combinatorial, Components: 17 x 17 Grids, Components: 19 x 19 Grids, Components: 2 x 2 Grids, Components: 9 x 9 Grids, Components: Rocks/Stones, + 13 more",,7.6
Die Siedler von Nürnberg,Add a Brief Description,Klaus Teuber,Tanja Donner,KOSMOS,3.0,4.0,90.0,90.0,90.0,10.0,2.78,936,294,"Family,  Strategy","Medieval, Negotiation","Dice Rolling, Hand Management, Memory, Trading","Cities: Nuremberg (Bavaria, Germany), Game: Catan",1999.0,6.9
