name,designer,artist,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,year,average_rating
A to Z,Gordon A. Barlow,(Uncredited),2,4,30,30,30,9,1.5,261,111,Party,"['Party Game', 'Trivia', 'Word Game']","['Dice Rolling', 'Race', 'Roll / Spin and Move', 'Set Collection']",1992.0,6.1
Espresso,Michael Michaels,(Uncredited),2,6,30,60,45,6,1.0,41,11,Uncategorized,"['Card Game', 'Real-time']",['Simultaneous Action Selection'],1995.0,6.2
Edison & Co.,Günter Burkhardt,Franz Vohwinkel,2,4,30,60,45,12,2.0,358,175,Family,['Science Fiction'],['Hand Management'],1998.0,4.5
D'raf,"Herman Haverkort, Joris Wiersinga",(Uncredited),3,5,45,45,45,11,1.75,88,37,Uncategorized,['Racing'],['Tile Placement'],1997.0,6.0
Rail Baron,"R. S. Erickson, Thomas F. Erickson, Jr.",(Uncredited),3,6,240,240,240,10,2.27,1600,690,Strategy,"['Economic', 'Trains', 'Transportation']",['Roll / Spin and Move'],1977.0,6.6
1830: Railways & Robber Barons,"Bruce Shelley, Francis Tresham","Mike Atkinson, Jared Blando, Charles Kibler, James Talbot, Mark Zug",2,7,180,360,270,14,4.16,5500,1800,Strategy,"['Economic', 'Trains', 'Transportation']","['Auction/Bidding', 'Hexagon Grid', 'Investment', 'Market', 'Network and Route Building', '+ 4 more']",1986.0,7.9
1835,"Michael Meier-Bachl, Francis Tresham",Bernd Brunnhofer,3,7,360,360,360,16,3.99,728,264,Strategy,"['Economic', 'Trains']","['Auction/Bidding', 'Network and Route Building', 'Stock Holding']",1990.0,7.0
Thunder's Edge,Christian T. Petersen,(Uncredited),3,5,180,300,240,12,3.13,149,68,Wargames,"['Political', 'Science Fiction', 'Wargame']","['Modular Board', 'Tile Placement', 'Trading']",1999.0,6.1
1870: Railroading Across the Trans Mississippi from 1870,Bill Dixon,"John Kamacher, Mike Russo, Chris Vande Voort",2,6,360,360,360,14,4.19,1100,394,Strategy,"['Economic', 'Trains']","['Auction/Bidding', 'Hexagon Grid', 'Network and Route Building', 'Stock Holding']",1992.0,7.4
The Battle of the Bulge,"Bruno Sinigaglio, Mick Uhl","Jean Baer, Rodger B. MacGowan, Dale Sheaffer, Mick Uhl",2,2,120,120,120,12,2.88,406,215,Wargames,"['Wargame', 'World War II']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Movement Points', 'Simulation', 'Zone of Control']",1981.0,6.6
1856: Railroading in Upper Canada from 1856,Bill Dixon,"John Kamacher, Mike Russo, Chris Vande Voort",3,6,300,300,300,14,4.26,1300,512,Strategy,"['Economic', 'Trains']","['Auction/Bidding', 'Network and Route Building', 'Stock Holding', 'Tile Placement']",1995.0,7.5
Galopp Royal,Klaus Teuber,Franz Vohwinkel,3,6,45,45,45,9,1.67,242,77,Family,"['Dice', 'Racing']",['Auction/Bidding'],1995.0,5.9
Grass,Jeff London,(Uncredited),2,6,60,60,60,18,1.54,1200,382,Party,"['Card Game', 'Economic']","['Hand Management', 'Take That']",1980.0,6.0
Asterix: Das Kartenspiel,David Parlett,"René Goscinny, Albert Uderzo",2,5,30,30,30,8,1.13,165,61,Uncategorized,"['Bluffing', 'Card Game', 'Comic Book / Strip']",['Simultaneous Action Selection'],1990.0,6.0
Take 5,Wolfgang Kramer,"Timur Baskakov, Design Edge, Oliver Freudenreich, Bill Herrin + 2 more",2,10,45,45,45,8,1.2,28000,5700,Family,"['Card Game', 'Number']","['Hand Management', 'Score-and-Reset Game', 'Simultaneous Action Selection']",1994.0,7.0
Alhambra: The Card Game,Dirk Henn,"Jo Hartwig, Reinhard Horst",2,6,45,45,45,10,1.71,1000,434,Family,"['Arabian', 'Card Game', 'City Building', 'Economic', 'Humor', 'Medieval']","['Area Majority / Influence', 'Hand Management', 'Open Drafting', 'Set Collection']",1992.0,6.4
Magalon,Wolfgang Kramer,"Tim Gill, Mark Holiday, Kinetic",2,4,60,60,60,12,1.9,249,82,"Family,  Strategy","['Fantasy', 'Racing']",['Roll / Spin and Move'],1998.0,5.9
Shark,H. Jean Vanaise,"A. Lefort, J. C. Sohier, Walter Wagner",2,6,90,90,90,12,2.2,1400,517,Strategy,['Economic'],"['Commodity Speculation', 'Dice Rolling', 'Stock Holding']",1987.0,6.6
Yucata',Stefan Dorra,Franz Vohwinkel,2,4,30,30,30,9,1.71,552,147,Abstract,"['Abstract Strategy', 'Card Game']","['Hand Management', 'Race', 'Set Collection']",1996.0,5.8
Canyon,Frederick A. Herschler,Franz Vohwinkel,3,6,45,45,45,10,1.58,800,311,Family,"['American West', 'Card Game', 'Racing']","['Betting and Bluffing', 'Grid Movement', 'Predictive Bid', 'Trick-taking']",1997.0,6.3
Master Labyrinth,Max J. Kobbert,"Monika Broeske, Andreas Härlin",2,4,20,30,25,10,1.78,2700,769,Family,"[""Children's Game"", 'Fantasy', 'Maze', 'Puzzle']","['Map Deformation', 'Modular Board', 'Point to Point Movement']",1991.0,6.3
Scotland Yard,"Manfred Burggraf, Dorothy Garrels, Wolf Hoermann, Fritz Ifland + 2 more","Erika Binz-Blanke, Rene Habermacher, Franz Vohwinkel, Thomas Weiss + 2 more",2,6,45,45,45,10,1.95,17000,3800,Family,"['Deduction', 'Travel']","['Hidden Movement', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game']",1983.0,6.5
Zoff in Buffalo,Christwart Conrad,(Uncredited),2,5,45,45,45,12,2.03,304,104,"Family,  Strategy","['American West', 'Farming']",['Simultaneous Action Selection'],1998.0,6.4
Filthy Rich,Richard Garfield,Christopher Rush,2,5,60,60,60,14,1.9,728,251,"Family,  Strategy",['Economic'],['Dice Rolling'],1998.0,6.4
Um Reifenbreite,Rob Bontenbal,Jan van Haasteren,2,4,60,90,75,8,1.96,2400,737,"Family,  Strategy","['Racing', 'Sports']","['Hand Management', 'Roll / Spin and Move']",1979.0,6.8
Code 777,"Robert Abbott, Alex Randolph","William Bricker, Kinetic",2,5,60,60,60,10,2.32,2100,704,"Abstract,  Family","['Deduction', 'Puzzle']",['Paper-and-Pencil'],1985.0,6.7
Escape from the Hidden Castle,Wolfgang Kramer,"Nicole Baron, Marek Bláha, Bernard Giroud, Franz Vohwinkel",2,8,30,30,30,8,1.14,2000,805,"Children's,  Family","[""Children's Game""]","['Dice Rolling', 'Push Your Luck', 'Race', 'Roll / Spin and Move', 'Track Movement']",1989.0,6.3
Die Osterinsel,"Leo Colovini, Alex Randolph","Hartmut Gärling, Fabio Visintin",3,4,30,30,30,10,1.6,229,83,Uncategorized,['Racing'],['Open Drafting'],1994.0,5.8
Avalanche,Frank W. Sinden,(Uncredited),2,6,30,30,30,8,1.19,256,111,Abstract,"['Abstract Strategy', 'Action / Dexterity', ""Children's Game""]",['Roll / Spin and Move'],1965.0,5.7
The Great Balloon Race,Nik Sewell,(Uncredited),2,8,30,30,30,7,1.35,280,128,Family,"['Aviation / Flight', 'Racing']",['Dice Rolling'],1991.0,6.2
Beutelschneider,Mark Sienholz,"Daniel Alles, Guido Paul",3,4,30,30,30,9,1.33,40,14,Uncategorized,['Card Game'],['Trick-taking'],1997.0,5.9
Octi,Don Green (I),(Uncredited),2,4,10,30,20,8,3.21,337,158,Abstract,['Abstract Strategy'],"['Grid Movement', 'Square Grid']",1999.0,6.7
Mummy Rummy,"Monty Stambler, Ann Stambler",Annie Campbell,2,5,30,30,30,8,1.19,188,116,Uncategorized,['Card Game'],['Set Collection'],1994.0,5.0
Bohnanza: La Isla Bohnita,Uwe Rosenberg,Björn Pertoft,2,7,90,90,90,12,2.0,756,210,Family,"['Card Game', 'Expansion for Base-game', 'Farming', 'Nautical', 'Negotiation', 'Pirates']","['Hand Management', 'Set Collection', 'Trading']",1998.0,5.8
Tante Tarantel,"Doris Matthäus, Frank Nestel",Doris Matthäus,3,5,30,30,30,10,1.21,137,63,Family,"['Animals', ""Children's Game""]","['Point to Point Movement', 'Roll / Spin and Move']",1991.0,6.2
