name,designer,artist,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,year,average_rating
Monopoly: All Blacks Charity Edition,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2009.0,6.0
Caverna: LARP and Cosplay Postcard,Hanno Girke,Klemens Franz,1,7,30,210,120,12,2.67,91,41,Uncategorized,"['Economic', 'Expansion for Base-game', 'Farming']","['Tile Placement', 'Worker Placement']",2014.0,6.7
Monopoly: Brasilien,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,3,1,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2014.0,6.0
Hollywood: The Other Side of Hollywood,Nikolay Pegasov,Uildrim,2,6,30,30,30,10,2.5,33,14,Uncategorized,"['Card Game', 'Expansion for Base-game', 'Industry / Manufacturing', 'Movies / TV / Radio theme']","['Auction/Bidding', 'Open Drafting', 'Set Collection']",2014.0,6.3
Monopoly: Die Nationalmannschaft,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,3,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2014.0,6.0
Cartoon Network Fluxx,Andrew Looney,(Uncredited),2,6,15,15,15,8,1.46,517,96,Uncategorized,"['Card Game', 'Movies / TV / Radio theme']",['Hand Management'],2014.0,5.9
Arcatype,Yazuki Wolf,(Uncredited),2,4,60,60,60,8,2.5,6,4,Uncategorized,"['Card Game', 'Fantasy']",['Area Majority / Influence'],2014.0,5.3
Abracadabra,(Uncredited),(Uncredited),2,6,120,120,120,8,2.019507655358751,1,0,Uncategorized,"['Economic', 'Party Game', 'Political']","['Player Elimination', 'Stock Holding']",2005.7966974431818,4.0
Monopoly: Kreis Siegen-Wittgenstein,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2013.0,6.0
Stuff and Nonsense,James Ernest,Harold Fay,2,6,60,60,60,12,1.43,321,105,Thematic,"['Adventure', 'Card Game', 'Exploration']",['Set Collection'],2015.0,6.5
Lanterns: The Harvest Festival,Christopher Chung,"Christopher Chung, Alexey Kot, Beth Sobel",2,4,30,30,30,8,1.55,11000,2000,Family,['Abstract Strategy'],"['Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement']",2015.0,6.9
Epic Death! Seven Card Bonus Pack,"Beth Hughes, Sam Lamont","Beth Hughes, Sam Lamont",2,5,52,79,65,12,2.0,9,2,Uncategorized,"['Card Game', 'Expansion for Base-game', 'Fantasy', 'Humor']","['Dice Rolling', 'Set Collection']",2014.0,6.4
Dino Shoot,(Uncredited),(Uncredited),2,4,20,20,20,3,2.019507655358751,1,0,Uncategorized,"['Action / Dexterity', 'Animals', ""Children's Game""]",['Roll / Spin and Move'],1997.0,5.4
Total Control Racing,Paul Schwarz,(Uncredited),2,6,120,120,120,10,3.0,1,0,Uncategorized,"['Racing', 'Sports']",['Simulation'],2014.0,10.0
Game Developerz: Legendary Developerz,Marco Tonetti,(Uncredited),2,6,52,79,65,9,2.019507655358751,7,2,Uncategorized,"['Card Game', 'Expansion for Base-game', 'Humor', 'Video Game Theme']",['Open Drafting'],2014.0,5.4
Last Starfleet,"Amit Ghadge, Sam Oplinger","Crimzon Studio, Filip Dudek, Amit Ghadge",2,6,60,90,75,13,2.2,39,25,Uncategorized,"['Adventure', 'Science Fiction']","['Cooperative Game', 'Open Drafting', 'Variable Player Powers']",2015.0,6.3
Abracadabra,(Uncredited),(Uncredited),2,4,10,10,10,3,2.019507655358751,2,1,Uncategorized,"['Action / Dexterity', 'Animals', ""Children's Game"", 'Novel-based', 'Religious']",['Roll / Spin and Move'],2005.7966974431818,6.2
Scotland Rising,"Mike Wylie, Grant Wylie",Sean Cooke,1,2,90,90,90,9,2.0,44,31,Wargames,"['Medieval', 'Wargame']","['Action Points', 'Dice Rolling', 'Hexagon Grid']",2014.0,6.4
Monopoly: Mannesmann Salzgitter Stahlhandel GmbH,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2013.0,6.0
Star Trek: Attack Wing – S'Gorn Expansion Pack,Christopher Guild,(Uncredited),2,2,30,30,30,14,2.019507655358751,22,4,Uncategorized,"['Aviation / Flight', 'Expansion for Base-game', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']","['Action Queue', 'Dice Rolling', 'Point to Point Movement', 'Simultaneous Action Selection', 'Variable Player Powers']",2014.0,6.9
Mighty Armies: The Black Sea Pirates,Michael Renegar,"John Dotegowski, Edward Wedig",2,6,30,30,30,10,2.019507655358751,2,0,Uncategorized,"['Expansion for Base-game', 'Fantasy', 'Miniatures', 'Pirates', 'Wargame']",['Dice Rolling'],2013.0,9.5
Mighty Armies: The Dark Elves,Michael Renegar,John Dotegowski,2,6,30,30,30,10,2.019507655358751,2,0,Uncategorized,"['Fantasy', 'Miniatures', 'Wargame']",['Dice Rolling'],2013.0,10.0
Star Trek: Attack Wing – Ni'Var Expansion Pack,Christopher Guild,(Uncredited),2,2,30,30,30,14,2.019507655358751,26,14,Uncategorized,"['Aviation / Flight', 'Expansion for Base-game', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']","['Action Queue', 'Dice Rolling', 'Point to Point Movement', 'Simultaneous Action Selection', 'Variable Player Powers']",2014.0,6.4
Star Trek: Attack Wing – Enterprise NX-01 Expansion Pack,(Uncredited),(Uncredited),2,2,30,30,30,14,2.019507655358751,34,12,Uncategorized,"['Aviation / Flight', 'Expansion for Base-game', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']","['Action Queue', 'Dice Rolling', 'Point to Point Movement', 'Simultaneous Action Selection', 'Variable Player Powers']",2014.0,7.3
Star Trek: Attack Wing – Scout 608 Expansion Pack,Christopher Guild,(Uncredited),2,2,30,30,30,14,2.019507655358751,33,10,Uncategorized,"['Aviation / Flight', 'Expansion for Base-game', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']","['Action Queue', 'Dice Rolling', 'Point to Point Movement', 'Simultaneous Action Selection', 'Variable Player Powers']",2014.0,6.9
Agents of SMERSH: Secret Mission Cards,Jason Maxwell,(Uncredited),1,5,90,90,90,14,2.0,62,37,Uncategorized,"['Expansion for Base-game', 'Spies/Secret Agents']",['Storytelling'],2014.0,7.1
Rink Ratz: The Hockey Card Game,Paul Logan,(Uncredited),2,4,20,20,20,8,1.0,7,2,Uncategorized,['Card Game'],['Simulation'],2013.0,7.1
Monopoly: Holiday Property Bond Edition,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2011.0,4.3
Magnets The Game,"Jeff Lyon, Isaac Zal",Stephanie Felicita Smith,1,6,15,15,15,14,1.0,7,3,Uncategorized,['Action / Dexterity'],['Action Queue'],2014.0,7.6
Monopoly: Durrell Edition,Charles Darrow,(Uncredited),2,6,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2012.0,6.0
Monopoly: Wrigley,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2011.0,6.0
The Game of Legends,Tamas Sziklai,(Uncredited),1,8,60,60,60,10,2.019507655358751,1,0,Uncategorized,"['Economic', 'Fantasy']",['Roll / Spin and Move'],2014.0,5.0
Dungeons & Dragons Dice Masters: Battle for Faerûn,"Mike Elliott, Eric M. Lang",(Uncredited),2,2,30,60,45,14,2.2,1500,362,Customizable,"['Collectible Components', 'Dice', 'Fantasy', 'Fighting']","['Deck', 'Bag', 'and Pool Building', 'Dice Rolling', 'Variable Player Powers']",2015.0,7.2
Memorable Stories,Piotr Siłka,Sylwia Smerdel,3,8,30,30,30,8,1.0,30,5,Uncategorized,"['Memory', 'Party Game']","['Memory', 'Storytelling']",2014.0,6.2
Abracadabra,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2005.7966974431818,6.0
Monopoly: Vereniging van Nederlandse Verkeersvliegers VNV,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2009.0,6.0
Target for Today,"Steve Dixon, Shawn Rife","Vincent Bourguignon, Roy Grinnell, Randy Lein, Brandon Pennington",1,1,45,90,67,12,3.34,474,172,Wargames,"['Aviation / Flight', 'Wargame', 'World War II']","['Action Queue', 'Dice Rolling', 'Simulation', 'Solo / Solitaire Game']",2017.0,8.1
Abracadabra,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2005.7966974431818,6.0
Plus Ultra: The Court of the Emperor Charles V,"Manuel D. Cruz Díaz, Antonio J. Dionisio","Paco Dana, Chechu Nieto, Manuel Espinosa Quirós, Jorge Carrero Roig, Pedro Soto",2,4,60,90,75,12,3.36,176,56,Strategy,"['Exploration', 'Renaissance']","['Area Majority / Influence', 'Open Drafting', 'Pick-up and Deliver']",2016.0,7.2
Zpocalypse: Animal Survivor Card Pack,(Uncredited),(Uncredited),1,4,100,100,100,13,2.019507655358751,4,5,Uncategorized,"['Expansion for Base-game', 'Fighting', 'Horror', 'Zombies']","['Dice Rolling', 'Modular Board']",2013.0,6.5
Crisis Averted,Rian Heist,Rian Heist,3,8,30,30,30,13,1.0,3,1,Uncategorized,"['Comic Book / Strip', 'Party Game', 'Print & Play', 'Science Fiction', 'Zombies']","['Hand Management', 'Storytelling', 'Voting']",2014.0,7.0
Zpocalypse: Aftermath – Linkara,Jeff Gracia,(Uncredited),1,4,100,100,100,13,2.019507655358751,6,4,Uncategorized,"['Expansion for Base-game', 'Exploration', 'Fighting', 'Horror', 'Miniatures', 'Zombies']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Open Drafting']",2013.0,6.7
Zpocalypse: Aftermath – Totalbisquit,Jeff Gracia,(Uncredited),1,4,100,100,100,13,2.019507655358751,6,4,Uncategorized,"['Expansion for Base-game', 'Exploration', 'Fighting', 'Horror', 'Miniatures', 'Zombies']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Open Drafting']",2013.0,6.7
Zpocalypse: Aftermath – Jim Sterling,Jeff Gracia,(Uncredited),1,4,100,100,100,13,2.019507655358751,6,4,Uncategorized,"['Expansion for Base-game', 'Exploration', 'Fighting', 'Horror', 'Miniatures', 'Zombies']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Hand Management']",2013.0,6.7
Zpocalypse: Survivor Card Pack #1,(Uncredited),(Uncredited),1,4,100,100,100,13,2.019507655358751,6,7,Uncategorized,"['Expansion for Base-game', 'Fighting', 'Horror', 'Zombies']","['Dice Rolling', 'Modular Board']",2013.0,6.5
Monopoly: Harrods Edition,Charles Darrow,(Uncredited),2,6,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2008.0,6.0
Zpocalypse: Aftermath – Angry Joe,(Uncredited),(Uncredited),1,4,100,100,100,13,2.019507655358751,6,4,Uncategorized,"['Expansion for Base-game', 'Fighting', 'Horror', 'Miniatures', 'Zombies']","['Dice Rolling', 'Modular Board']",2013.0,6.5
Zpocalypse: Aftermath – Dr. Insano,(Uncredited),(Uncredited),1,4,100,100,100,13,2.019507655358751,6,4,Uncategorized,"['Expansion for Base-game', 'Fighting', 'Horror', 'Zombies']","['Dice Rolling', 'Modular Board']",2013.0,6.7
Zpocalypse: Military Tiles and Promotional Cards,(Uncredited),(Uncredited),1,4,100,100,100,13,2.019507655358751,8,6,Uncategorized,"['Expansion for Base-game', 'Fighting', 'Horror', 'Zombies']","['Dice Rolling', 'Modular Board']",2013.0,6.8
Monopoly: Zappos,Charles Darrow,(Uncredited),2,6,100,100,100,8,2.019507655358751,4,1,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2008.0,6.0
Monopoly: Gold Coast Australia,Charles Darrow,(Uncredited),2,6,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2003.0,2.5
Monopoly: Dr. Ochel Immoplus N.V.,Charles Darrow,(Uncredited),2,6,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2005.0,6.0
Dominion: Prince Promo Card,Donald X. Vaccarino,Eric J. Carter,2,4,30,30,30,10,2.36,722,227,Strategy,"['Card Game', 'Expansion for Base-game', 'Medieval']","['Deck', 'Bag', 'and Pool Building', 'Delayed Purchase', 'Hand Management', 'Open Drafting']",2014.0,7.5
Monopoly: oog – het oogziekenhuis Rotterdam,Charles Darrow,(Uncredited),2,8,100,100,100,8,2.019507655358751,2,0,Uncategorized,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']",2010.0,6.0
The Badger Deck,Dennis Bennett,Dennis Bennett,2,5,52,79,65,9,1.0,51,32,Uncategorized,"['Card Game', 'Game System']",['Roll / Spin and Move'],2014.0,8.5
Dust Tactics: Axis Kampfgruppe Stefan Starter Set,(Uncredited),(Uncredited),2,4,30,30,30,9,2.019507655358751,9,4,Uncategorized,"['Miniatures', 'Science Fiction', 'World War II']","['Action Points', 'Dice Rolling', 'Modular Board']",2014.0,7.2
DC Deck-Building Game: Rivals – Batman vs The Joker,Matt Hyra,(Uncredited),2,2,30,30,30,15,1.87,996,216,Thematic,"['Card Game', 'Comic Book / Strip']","['Deck', 'Bag', 'and Pool Building']",2014.0,7.0
Dust Tactics: SSU Battlegroup Koshka Starter Set,(Uncredited),(Uncredited),2,4,30,30,30,9,2.019507655358751,7,2,Uncategorized,"['Miniatures', 'Science Fiction', 'World War II']","['Action Points', 'Dice Rolling', 'Modular Board']",2014.0,8.4
Dust Tactics: Allied Taskforce Joe Starter Set,(Uncredited),(Uncredited),2,4,30,30,30,9,2.019507655358751,10,2,Uncategorized,"['Miniatures', 'Science Fiction', 'World War II']","['Action Points', 'Dice Rolling', 'Modular Board']",2014.0,7.3
Box Quiz: TV,Bettina Cronquist,(Uncredited),1,1,52,79,65,15,2.019507655358751,2,2,Uncategorized,"['Movies / TV / Radio theme', 'Trivia']",['Roll / Spin and Move'],2012.0,2.5
Schnappt Hubi Mitbringspiel,Steffen Bogen,(Uncredited),2,4,10,15,12,5,1.0,26,11,Uncategorized,"[""Children's Game"", 'Deduction', 'Maze']","['Cooperative Game', 'Modular Board']",2013.0,5.5
Loop Inc.: Expansion Tiles,Scott Almes,Kwanchai Moriya,1,4,45,45,45,13,2.0,30,26,Uncategorized,"['Science Fiction', 'Travel']","['Action Queue', 'Hand Management']",2015.0,6.7
Isle of Coconuts,Reiner Knizia,Brian Kolodziejski,2,4,20,20,20,8,1.0,3,0,Children's,"[""Children's Game"", 'Educational', 'Math']","['Area Majority / Influence', 'Dice Rolling']",2015.0,5.0
Loop Inc.: Expansion Cards,Scott Almes,Kwanchai Moriya,1,4,45,45,45,13,2.0,36,24,Uncategorized,"['Expansion for Base-game', 'Science Fiction', 'Travel']","['Action Queue', 'Hand Management']",2015.0,6.8
Abracadabra,(Uncredited),(Uncredited),2,2,10,30,20,9,2.019507655358751,3,1,Uncategorized,['Abstract Strategy'],['Mancala'],2005.7966974431818,7.0
Lerne zählen!,(Uncredited),Eric Carle,1,3,10,10,10,3,1.0,1,2,Uncategorized,"[""Children's Game"", 'Educational', 'Math']",['Roll / Spin and Move'],2009.0,4.0
B-Sieged: Heroes Set 2,(Uncredited),(Uncredited),2,5,52,79,65,9,1.0,58,29,Uncategorized,['Expansion for Base-game'],['Roll / Spin and Move'],2016.0,6.8
The Lord of the Ice Garden: Vuko Tiles Promo,Krzysztof Wolicki,Dominik Kasprzycki,2,4,90,90,90,14,4.0,18,4,Uncategorized,"['Expansion for Base-game', 'Fantasy', 'Fighting', 'Medieval', 'Novel-based']",['Roll / Spin and Move'],2014.0,8.1
Monster Allegiance,John Ingemi,(Uncredited),2,4,30,30,30,9,2.019507655358751,7,4,Uncategorized,"['Card Game', 'Fantasy']","['Hand Management', 'Pattern Building', 'Tile Placement']",2016.0,6.0
Pralaya,Y. Ohashi,Qtonagi,2,5,20,20,20,10,1.33,136,36,Uncategorized,"['Ancient', 'Card Game']","['Action Points', 'Open Drafting', 'Push Your Luck', 'Set Collection']",2015.0,7.0
Texas (fan expansion for Ticket to Ride),Doug Parmer,Doug Parmer,2,5,30,60,45,8,2.019507655358751,10,4,Uncategorized,"['Expansion for Base-game', 'Fan Expansion', 'Print & Play']",['Network and Route Building'],2009.0,7.0
ヘッジホッグジレンマ (Hedgehog's Dilemma),Pesu Nabeno,Tama Nabeno,3,5,15,20,17,8,2.019507655358751,21,9,Uncategorized,['Card Game'],"['Card Play Conflict Resolution', 'Matching']",2015.0,5.7
Ninjan!!,Toshiki Sato,長谷川 登鯉 (Tori Hasegawa),2,2,20,20,20,6,2.019507655358751,1,0,Uncategorized,"['Card Game', ""Children's Game"", 'Fighting']",['Rock-Paper-Scissors'],2015.0,9.0
Kunterbuntes Früchtesammeln,(Uncredited),(Uncredited),2,4,52,79,65,3,2.019507655358751,8,2,Uncategorized,"[""Children's Game""]",['Roll / Spin and Move'],2009.0,5.3
Thunderbirds: Devious Schemes Promo Card Set,Matt Leacock,Michal E. Cross,1,4,52,79,65,10,2.63,91,42,Uncategorized,"['Expansion for Base-game', 'Movies / TV / Radio theme', 'Science Fiction']","['Cooperative Game', 'Pick-up and Deliver', 'Storytelling']",2015.0,7.5
Orcorrida,"Wagner R dos Santos, Antonio Marcelo",Boris Simiano,3,6,10,15,12,12,2.019507655358751,2,0,Uncategorized,"['Card Game', 'Humor', 'Racing']",['Hand Management'],2015.0,6.8
Zooscape,Hisashi Hayashi,"Katy Lipscomb, Michael Menzel, Ryo Nyamo",3,6,15,30,22,8,1.13,309,121,Uncategorized,"['Animals', 'Card Game']","['Set Collection', 'Voting']",2015.0,5.7
Yoga Cards,(Uncredited),(Uncredited),2,4,52,79,65,6,2.019507655358751,1,1,Uncategorized,"['Action / Dexterity', 'Card Game', ""Children's Game""]","['Push Your Luck', 'Simultaneous Action Selection']",2015.0,3.0
Hvězdokupy: Hra plná hvězd,Pavel Tatíček,Martina Lásková,2,6,20,20,20,8,2.019507655358751,18,1,Uncategorized,"['Abstract Strategy', 'Number']","['Dice Rolling', 'Pattern Building']",2015.0,5.9
モリヤウォーズ (Moriya Wars: Episode II),ゆお (Yuo),(Uncredited),3,5,10,10,10,10,2.019507655358751,2,0,Uncategorized,['Abstract Strategy'],['Roll / Spin and Move'],2015.0,7.0
Bushi Tanto,Nicholas Markgraf,(Uncredited),2,5,20,40,30,8,1.0,13,9,Uncategorized,['Dice'],"['Dice Rolling', 'Set Collection']",2021.0,5.8
Moon-Sun-Angel,Mitsuo Yamamoto,"Mitsuo Yamamoto, Shukoko Yamamoto",2,2,5,15,10,8,1.0,27,16,Abstract,['Abstract Strategy'],['Roll / Spin and Move'],2015.0,6.5
Irresponsibility: The Mr Toast Card Game,Dan Goodsell,Dan Goodsell,2,4,10,20,15,7,1.0,123,35,Uncategorized,"['Card Game', 'Party Game']","['Hand Management', 'Take That']",2015.0,5.9
SHOOTERZ,Randall Thompson (I),(Uncredited),2,2,20,30,25,8,1.0,14,6,Uncategorized,['Card Game'],['Hand Management'],2014.0,6.2
Blood Before Richmond: Glendale & White Oak Swamp,Amabel Holland,Ilya Kudriashov,2,2,90,90,90,9,2.019507655358751,4,9,Wargames,"['American Civil War', 'Wargame']","['Chit-Pull System', 'Dice Rolling', 'Hexagon Grid']",2015.0,7.4
Kelly Party Surprise,(Uncredited),(Uncredited),2,4,52,79,65,3,2.019507655358751,1,0,Uncategorized,"[""Children's Game""]","['Memory', 'Open Drafting', 'Set Collection']",2002.0,2.0
JunkWars,"Simone sime Peracchi, Francesco Pieraccini",Simone sime Peracchi,2,4,60,90,75,12,2.0,3,1,Uncategorized,"['Card Game', 'Science Fiction']","['Card Play Conflict Resolution', 'Open Drafting', 'Resource to Move']",2018.0,8.7
Emporion,Xavier Carrascosa,Ricardo Jurado,2,4,30,45,37,12,2.0,122,43,Uncategorized,"['Ancient', 'Card Game', 'Civilization']","['Open Drafting', 'Set Collection']",2016.0,7.0
Rainbow Brite: A Color Matching Game,(Uncredited),(Uncredited),2,4,52,79,65,3,2.019507655358751,2,1,Uncategorized,"[""Children's Game""]","['Roll / Spin and Move', 'Set Collection']",1983.0,7.0
Dark Mages,Eric Bleney,(Uncredited),2,8,20,60,40,13,2.0,151,54,Uncategorized,"['Card Game', 'Fantasy']","['Dice Rolling', 'Hand Management', 'Player Elimination', 'Variable Player Powers']",2016.0,6.6
Where's Wally? The Board Game,(Uncredited),Martin Handford,2,4,52,79,65,7,2.019507655358751,4,0,Uncategorized,"[""Children's Game"", 'Real-time']",['Roll / Spin and Move'],2014.0,4.8
Memory Yoga,(Uncredited),(Uncredited),2,4,52,79,65,3,2.019507655358751,1,1,Uncategorized,"['Action / Dexterity', ""Children's Game"", 'Memory']",['Memory'],2015.0,6.0
Quality Street Monopoly,(Uncredited),(Uncredited),2,2,52,79,65,9,2.019507655358751,2,0,Uncategorized,"['Card Game', ""Children's Game"", 'Memory']",['Memory'],2005.0,6.0
The Buildings,Mitsuo Yamamoto,Mitsuo Yamamoto,2,2,52,79,65,9,5.0,1,2,Abstract,['Abstract Strategy'],['Tile Placement'],2015.0,9.0
My Big World: Europe,"Dave Choi, Ian Parovel",(Uncredited),2,6,20,30,25,7,2.019507655358751,1,0,Uncategorized,"['Educational', 'Party Game', 'Travel']","['Auction/Bidding', 'Grid Movement']",2014.0,8.0
Tumult,Lauge Luchau,Jamie Littler,1,5,15,30,22,8,1.0,12,5,Uncategorized,"['Puzzle', 'Real-time']",['Pattern Recognition'],2015.0,6.9
てづま師 (Tezuma Master),折口 日向 (Hinata Origuchi),舟岡 (Hunaoka),3,4,30,40,35,10,2.019507655358751,24,13,Uncategorized,['Abstract Strategy'],['Trick-taking'],2015.0,6.9
Ayakashi Soushi,KD,KD,3,5,15,30,22,5,2.019507655358751,1,0,Uncategorized,['Abstract Strategy'],['Tile Placement'],2015.0,2.0
Abracadabra,(Uncredited),(Uncredited),2,6,15,15,15,3,2.019507655358751,2,2,Uncategorized,"[""Children's Game""]","['Pattern Recognition', 'Roll / Spin and Move']",2005.7966974431818,5.0
Nemo's War (Second Edition),Chris Taylor (I),Ian O'Toole,1,4,60,120,90,13,3.27,5100,1400,Thematic,"['Adventure', 'Exploration', 'Nautical', 'Novel-based', 'Science Fiction', '+ 2 more']","['Action Points', 'Area Majority / Influence', 'Area Movement', 'Cooperative Game', 'Dice Rolling', '+ 4 more']",2017.0,7.9
Labyrint,Pål Keller Carlquist,Aleksi Michelsson,2,4,40,40,40,6,2.0,29,5,Uncategorized,"[""Children's Game"", 'Movies / TV / Radio theme']","['Memory', 'Roll / Spin and Move', 'Speed Matching', 'Tile Placement']",2015.0,4.8
Zombies and Survivors,(Uncredited),(Uncredited),2,2,52,79,65,9,2.019507655358751,2,1,Uncategorized,"['Horror', 'Miniatures', 'Wargame']",['Dice Rolling'],2012.0,6.0
Age of Craft Expansion #2: Architecture Alliance,Toryo Hojo,(Uncredited),2,4,40,60,50,10,3.0,5,0,Uncategorized,"['City Building', 'Dice', 'Negotiation']","['Dice Rolling', 'Trading']",2015.0,6.7
Star Wars: Rebellion,Corey Konieczka,"Matt Allsopp, David Ardila, Balaskas, Tiziano Baracchi + 41 more",2,4,180,240,210,14,3.75,31000,4700,Thematic,"['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', '+ 14 more']",2016.0,8.4
5Crests,Joe Gray,(Uncredited),2,10,20,45,32,13,2.019507655358751,4,2,Uncategorized,"['Card Game', 'Collectible Components', 'Fighting', 'Mafia']","['Deck', 'Bag', 'and Pool Building', 'Player Elimination', 'Variable Player Powers']",2015.0,6.9
Nex,João Pedro Neto,(Uncredited),2,2,52,79,65,9,2.019507655358751,3,2,Uncategorized,['Abstract Strategy'],['Roll / Spin and Move'],2004.0,7.8
Covert,Kane Klenko,"Hokunin, Chris Ostrowski",2,4,45,90,67,13,3.0,1600,464,Strategy,"['Card Game', 'Dice', 'Spies/Secret Agents']","['Action Queue', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Push Your Luck', '+ 4 more']",2016.0,7.1
Eternal War of the Candy Realms!,Molly Michelle Friedrich,Molly Michelle Friedrich,2,6,30,120,75,8,2.019507655358751,1,0,Uncategorized,"['Card Game', ""Children's Game""]",['Roll / Spin and Move'],2016.0,1.0
Fourth Grade Confidential,George Jaros,"George Jaros, Neal Simon",3,5,15,15,15,10,2.019507655358751,2,3,Uncategorized,"['Bluffing', 'Card Game', 'Deduction', 'Print & Play']","['Hand Management', 'Memory']",2015.0,9.5
War for the White House,"John T. Douglas, John Kaiser, III",(Uncredited),2,4,5,15,10,6,2.019507655358751,2,1,Uncategorized,['Card Game'],['Set Collection'],2015.0,2.0
Shatra,Saveliy Yakovlevich Pahayev,(Uncredited),2,4,15,90,52,10,4.0,2,1,Uncategorized,['Abstract Strategy'],['Roll / Spin and Move'],1960.0,8.5
Star Wars: Death Star Attack,(Uncredited),(Uncredited),2,4,10,15,12,7,2.019507655358751,11,5,Uncategorized,"['Card Game', 'Science Fiction']",['Trick-taking'],2015.0,3.5
Die kleine Raupe Nimmersatt: 1 • 2 • 3 Stapelei,(Uncredited),(Uncredited),2,4,10,10,10,4,2.019507655358751,1,0,Uncategorized,"['Action / Dexterity', ""Children's Game"", 'Novel-based']",['Roll / Spin and Move'],2013.0,5.0
Abracadabra,(Uncredited),(Uncredited),2,2,5,10,7,7,2.019507655358751,1,1,Uncategorized,"['Card Game', 'Medieval']","['Deck', 'Bag', 'and Pool Building', 'Hand Management']",2005.7966974431818,4.0
Hérois & Monstros,"Rovalde Banchieri, Fabiano Saccol","Moy Shin Hung, Jason Juta, Kitt Lapena, Ramses Melendez + 4 more",3,5,45,120,82,12,2.33,43,8,Uncategorized,"['Card Game', 'Fantasy']","['Deck', 'Bag', 'and Pool Building']",2015.0,6.7
