name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Cthulhu: Death May Die – Fear of the Unknown,"Face new monsters, insanities, and rules in this standalone core box.","Rob Daviau, Eric M. Lang, Marco Portugal","Helder Almeida, Nicolas Fructus, Stef Kopinski, Karl Kopinski + 3 more",CMON Global Limited,1.0,5.0,90.0,90.0,90.0,14.0,3.0,30,141,Uncategorized,"Fantasy, Fighting, Horror, Miniatures, Novel-based","Action Points, Cooperative Game, Dice Rolling, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers","Admin: Upcoming Releases, Category: Dungeon Crawler, Components: Dice with Icons, Components: Miniatures, Creatures: Monsters, Crowdfunding: Kickstarter, + 3 more",2023,9.0
Escape Room Z,Work together to escape these pizza-hungry zombies... before YOU end up on the menu!,"Elliott Bailey, Mitchel Bailey",,Lock Paper Scissors,2.0,99.0,40.0,60.0,50.0,16.0,4.0,1,1,Uncategorized,"Adventure, Party Game, Print & Play, Puzzle, Real-time, Zombies","Cooperative Game, Real-Time, Team-Based Game","Category: Escape Room Games, Components: Digital Hybrid – App/Website Required, Creatures: Zombies, Food & Drink: Pizza, Misc: No Table Needed, Theme: Post-Apocalyptic",2016,9.0
Escape Quest,"Oh no, you're lost in time! Work together to make it home... before you're dino-chow!","Elliott Bailey, Mitchel Bailey",,Lock Paper Scissors,2.0,99.0,30.0,60.0,45.0,6.0,1.0,1,1,Uncategorized,"Adventure, Children's Game, Party Game, Print & Play, Puzzle, + 2 more","Cooperative Game, Real-Time, Team-Based Game","Category: Escape Room Games, Components: Digital Hybrid – App/Website Required, Misc: No Table Needed, Theme: Time Travel",2016,9.0
Lone Sherman: A Solitaire Wargame,Navigate your Sherman to accomplish dangerous missions.,Mike Lambo,Mike Lambo,(Self-Published),1.0,1.0,10.0,90.0,50.0,14.0,2.18,96,45,Wargames,"Wargame, World War II","Action Drafting, Action/Event, Dice Rolling, Events, Hexagon Grid, + 2 more","Country: France, Country: Germany, Country: United Kingdom, Country: USA, Players: Solitaire Only Games, Players: Solitaire Only Wargames, + 1 more",2022,8.6
Batman: Infiltration,"Debate, bluff, strategize and bring Batman (or his enemies) to victory!",,,404 editions,5.0,10.0,30.0,60.0,45.0,14.0,2.0,5,3,Uncategorized,"Comic Book / Strip, Party Game, Spies/Secret Agents","Roles with Asymmetric Information, Team-Based Game",Comic Books: Batman,2022,6.4
Doom Pilgrim,An adventurer builds his fate in a grimdark medieval world trying to avoid his doom.,Waclaw Traier,Waclaw Traier,War Claw Games,1.0,4.0,15.0,120.0,67.5,18.0,2.0,17,6,Uncategorized,"Adventure, Card Game, Exploration, Fantasy, Horror, Medieval","Events, Role Playing","Admin: Upcoming Releases, Category: Print-on-Demand, Crowdfunding: Game Crafter Crowd Sale",2022,8.7
Family Party,Challenge your family and friends in many ways.,,,Erickson,3.0,6.0,20.0,20.0,20.0,7.0,,2,0,Uncategorized,Party Game,,,2020,6.0
OMNIA Beginnings: Season 1,"Elves, Zombies, Dragons and... a bustling Marketplace?",Nicholas Awze Savato Wiltse,,We the Bards,2.0,2.0,,,,,,1,0,Uncategorized,"Card Game, Collectible Components",,Collectible: Collectible Card Games,2022,10.0
Pax Hispanica,"Pirate? Preacher? Prince? Find your story, from teen to peer in the 1600's Caribbean!",Phil Eklund,Anne Isaksson,"Ion Game Design, Sierra Madre Games + 1 more",1.0,5.0,60.0,150.0,105.0,14.0,4.0,38,42,Uncategorized,"Economic, Nautical, Negotiation, Pirates","Area Movement, Auction/Bidding, Push Your Luck, Rock-Paper-Scissors, Secret Unit Deployment","Admin: Upcoming Releases, Mechanism: Tableau Building, Region: Caribbean Sea, Series: Pax, Theme: Colonial",2024,8.1
,Manage your polyominoes wisely.,,,CreativaMente,1.0,4.0,,,,6.0,,2,0,Uncategorized,Puzzle,,,,6.0
Guadalcanal Solitaire,"Lead the 1st Marine division, tasked with holding Guadalcanal against the Japanese.","Sean Cooke, Derek Croxton, Mike Wylie, Grant Wylie",,"Worthington Publishing, LLC",1.0,1.0,,,,,3.0,14,9,Wargames,"Wargame, World War II","Dice Rolling, Paper-and-Pencil, Push Your Luck, Solo / Solitaire Game","History: World War II (Pacific), Mechanism: Static Battle, Players: Solitaire Only Wargames, Series: Worthington Original Bookgames",2022,6.5
Werwölfe: Schnupperpack,Add a Brief Description,Ted Alspach,,Pegasus Spiele,6.0,10.0,30.0,90.0,60.0,8.0,,2,1,Uncategorized,"Bluffing, Card Game, Deduction, Horror, Murder/Mystery, + 2 more","Hidden Roles, Player Elimination, Role Playing, Roles with Asymmetric Information, Team-Based Game, + 2 more","Creatures: Werewolves, Game: Werewolf / Mafia",2009,3.5
Niemen 1920,Operational level 2 player wargame of the 1920's Russo-Polish War battle of Niemen.,Wojciech Zalewski,,Taktyka i Strategia,2.0,2.0,,,,12.0,2.0,2,0,Wargames,Wargame,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Zone of Control","Country: Poland, Country: Russia, Decades: The 1920's, History: Interwar period, History: Polish-Soviet War (1919-1921), Players: Two Player Only Games, + 2 more",2022,7.5
Cross Clues: Tantrum House Promo Pack,More fun with board game clues.,Grégory Grard,,Blue Orange Games,2.0,6.0,5.0,10.0,7.5,7.0,,1,2,Uncategorized,"Expansion for Base-game, + 3 more","Cooperative Game, Real-Time","Components: Sand Timers, Crowdfunding: Kickstarter, Promotional: Tantrum House",2022,7.0
Dungeon Drop: Fire Gnome Promo Card,Newer underestimate a burning gnome,Scott R. Smith,Marília Nascimento,Phase Shift Games,2.0,4.0,10.0,20.0,15.0,8.0,,2,5,Uncategorized,"Adventure, Expansion for Base-game, Fantasy","Enclosure, Flicking, Modular Board, Open Drafting, Push Your Luck, + 4 more","Category: Dungeon Crawler, Containers: Cubes, Crowdfunding: Kickstarter, Game: Dungeon Drop, Players: Games with Solitaire Rules, Promotional: Tantrum House",2022,9.0
Tavern Tales: Consumables Promo Card,More fancy stuff for your adventure!,Gregory Skulnick,Gong Studios,Phase Shift Games,2.0,5.0,20.0,30.0,25.0,8.0,,1,4,Uncategorized,"Expansion for Base-game, + 2 more","Auction/Bidding, Deduction, Hand Management, Push Your Luck, Set Collection, Variable Player Powers","Crowdfunding: Kickstarter, Game: Dungeon Drop, Promotional: Tantrum House",2022,9.0
Escape Room: The Game – Superhelden Next Generation,Assemble a team of superheroes and try to escape.,,,Identity Games International B.V.,3.0,5.0,60.0,60.0,60.0,16.0,,2,1,Uncategorized,"Expansion for Base-game, + 1 more","Cooperative Game, Deduction, Elapsed Real Time Ending","Category: Escape Room Games, Series: Escape Room – The Game (Identity Games…",2022,9.0
Escape Room: The Game – Puzzle Adventures: Mission Mayday,"Mayday Mayday, can you help them.",,,Identity Games International B.V. + 1 more,1.0,2.0,120.0,120.0,120.0,16.0,2.0,25,13,Uncategorized,Puzzle,"Cooperative Game, Deduction, Elapsed Real Time Ending, Solo / Solitaire Game","Category: Escape Room Games, Series: Escape Room – The Game (Identity Games…",2022,7.2
Monolyth,Use polyominoes to build a valuable monolith.,Phil Walker-Harding,Davide Tosello,CMON Global Limited,1.0,4.0,30.0,30.0,30.0,8.0,1.55,251,46,Uncategorized,Abstract Strategy,"Open Drafting, Pattern Building",,2022,7.1
